HEADER_BEGIN
FILE_VERSION:0.2
FILE_CREATED_TIME:2026/04/03 21:01:53
EQP_TYPE:MFBAP
EQP_ID:MFBAPH90
CONTENT:PANEL_DATA/EQP_PANEL_DATA/PANEL_SUMMARY/DEFECT_DATA/SITE_DATA/PG_DATA
HEADER_END

PANEL_DATA_BEGIN
PANEL_ID,OWNER_CODE,OWNER_TYPE,PRODUCT_ID,PROCESS_ID,PRODUCT_GROUP,LOT_ID,CST_ID,GROUP_ID,ARRAY_LOT_ID,ARRAY_GLASS_ID,PRE_PANEL_INFO,PRE_PANEL_ARRAY_REPAIR
AVE562G06FB15,,,,1700,,,, , , , , 
PANEL_DATA_END

EQP_PANEL_DATA_BEGIN
RECIPE_NO,AOI_RECIPE_NAME,PLC_RECIPE_NAME,PG_RECIPE_NAME,TP_RECIPE_NAME,START_TIME,END_TIME,LOAD_STAGE_NO,INSP_STAGE_NO,UNLOAD_STAGE_NO,PROBE_CONTACT_CNT,INDEX_PANEL_GRADE,INDEX_MAIN_CODE,FINAL_PANEL_GRADE,FINAL_MAIN_CODE,OPERATOR_ID
6,IN9 -1,PLC,PG,TP,2026/04/03 20:59:22,2026/04/03 20:59:41,1,05,1,1,OK,,OK,,MFBAPH90
EQP_PANEL_DATA_END

PANEL_SUMMARY_BEGIN
PAENL_ID,CONTACT_PANEL_GRADE,AOI_PAENL_GRADE,PRE_PAENL_GRADE,DOT_PAENL_GRADE,LUMITOP_PAENL_GRADE,OPV_PAENL_GRADE,OPERATOR_ID
AVE562G06FB15,OK,OK,NoDetect,OK, BYPASS,OK,MFBAPH90
PANEL_SUMMARY_END

DEFECT_DATA_BEGIN
PANEL_ID,DEFECT_DATA_NUM,DEFECT_TYPE,DEFECT_PTRN,DEFECT_CODE,DEFECT_GRADE,IMAGE_DATA,X,Y,SIZE,CAM_INSPECT,ZONE
DEFECT_DATA_END

SITE_DATA_BEGIN
PANEL_ID,POINT,X,Y,LUMITOP_PTRN,LV,CIE_X,CIE_Y,CCT,MPCD,MPCD_MAX,MPCD_MIN,MPCD_DIFF,MPCD_CENTER,CCT_CENTER
SITE_DATA_END

PG_DATA_BEGIN
PANEL_ID,VDDIO,VBL,VCI
AVE562G06FB15,,,
PG_DATA_END

